player_name,player_short_name,player_id,player_birthdate,team_name,team_id,competition_name,competition_id,season_name,season_id,position_group,minutes_full_all,minutes_full_tip,minutes_full_otip,count_match,count_match_failed,total_distance_full_all,total_metersperminute_full_all,running_distance_full_all,hsr_distance_full_all,hsr_count_full_all,sprint_distance_full_all,sprint_count_full_all,hi_distance_full_all,hi_count_full_all,medaccel_count_full_all,highaccel_count_full_all,meddecel_count_full_all,highdecel_count_full_all,explacceltohsr_count_full_all,timetohsr_top3,explacceltosprint_count_full_all,timetosprint_top3,psv99,psv99_top5,total_distance_full_tip,total_metersperminute_full_tip,running_distance_full_tip,hsr_distance_full_tip,hsr_count_full_tip,sprint_distance_full_tip,sprint_count_full_tip,hi_distance_full_tip,hi_count_full_tip,medaccel_count_full_tip,highaccel_count_full_tip,meddecel_count_full_tip,highdecel_count_full_tip,explacceltohsr_count_full_tip,explacceltosprint_count_full_tip,total_distance_full_otip,total_metersperminute_full_otip,running_distance_full_otip,hsr_distance_full_otip,hsr_count_full_otip,sprint_distance_full_otip,sprint_count_full_otip,hi_distance_full_otip,hi_count_full_otip,medaccel_count_full_otip,highaccel_count_full_otip,meddecel_count_full_otip,highdecel_count_full_otip,explacceltohsr_count_full_otip,explacceltosprint_count_full_otip
Andrew  Nabbout,A. Nabbout,11887,12/17/92,Melbourne City FC,2380,AUS - A-League,61,2024/2025,95,Center Forward,95.58,28.25,25.35,2,0,10841,113.42,1356.5,699.5,69.5,246.5,15.5,946,85,104,6.5,90,13.5,4,,0.5,,29.65,29.65,3913,138.51,548.5,304.5,35,165.5,7.5,470,42.5,40.5,3,29,3.5,2.5,0.5,3920,154.64,683.5,337.5,28,68.5,5,406,33,34.5,1.5,31,4.5,0,0
Aziz Eraltay Behich,A. Behich,11891,12/16/90,Melbourne City FC,2380,AUS - A-League,61,2024/2025,95,Central Defender,97.92,34.58,21.82,2,0,10426.5,106.47,1332,411,44.5,178,8,589,52.5,118.5,5.5,98,14.5,2.5,,1.5,,29.7,29.7,4235.5,122.47,545,168,18,53,2,221,20,45,2,37.5,4.5,0,0,3288,150.65,634.5,196.5,23.5,115.5,4,312,27.5,39.5,2,28,3.5,1,0.5
Aziz Eraltay Behich,A. Behich,11891,12/16/90,Melbourne City FC,2380,AUS - A-League,61,2024/2025,95,Full Back,98.83,30.07,24.77,25,0,10562.72,106.88,1447.36,544.04,52.88,189.72,10.56,733.76,63.44,115.84,6.56,98.68,20,4.8,0.59,2,1.21,29.52,31.24,3774.68,125.53,599.44,238.4,23.84,91.76,4.64,330.16,28.48,41.92,3.16,33.2,6.68,2.16,0.92,3686.08,148.84,683.48,263.04,24.44,85.08,4.36,348.12,28.8,43.16,1.88,30.04,4.76,1.16,0.36
Matthew Jurman,M. Jurman,11895,12/8/89,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Central Defender,89.95,25.67,23.04,10,0,8819.5,98.05,889.2,309,25.9,80,3.6,389,29.5,94.1,4.3,74.5,9.1,1.7,0.72,0.4,,27.04,28.4,2997.4,116.78,275.8,57.2,5.9,9.4,0.3,66.6,6.2,24.2,0.8,20.7,1.9,0.1,0,3045.4,132.21,454.9,181.2,16.8,38.1,1.8,219.3,18.6,39,1.9,24.9,2.6,0.7,0.1
Josh Risdon,J. Risdon,11897,7/27/92,Perth Glory Football Club,871,AUS - A-League,61,2024/2025,95,Full Back,93.09,19.36,31.87,15,0,10121.27,108.72,1373.07,575.2,52.67,158,9.4,733.2,62.07,106.87,7.07,91.6,20.07,4.93,0.61,1.87,1.37,28.45,29.26,2619.73,135.33,470.33,188.13,17.33,44.6,2.73,232.73,20.07,28.6,2,20.8,4,1.2,0.67,4454.53,139.77,734,340.6,30.07,103.8,5.13,444.4,35.2,49.13,2.6,38.6,6.6,1.67,0.53
Saîf-Eddine Khaoui,S. Khaoui,12120,4/27/95,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Midfield,65.01,18.3,13.81,2,0,7326,112.69,1101,455.5,35.5,69.5,4,525,39.5,77.5,3.5,70,12,2.5,,0,,26.7,26.7,2935,160.38,574,281,19.5,36.5,2.5,317.5,22,30.5,1,23,3.5,1,0,1989.5,144.08,387.5,146,13,22.5,1,168.5,14,21.5,1,17.5,3,0.5,0
Luke Amos,L. Amos,12185,2/23/97,Perth Glory Football Club,871,AUS - A-League,61,2024/2025,95,Midfield,70.28,17.98,23.67,7,0,8915.43,126.86,1752.14,573.43,45.14,89.14,6.14,662.57,51.29,92.29,3,79.57,13,1.71,0.78,0.86,1.74,26.57,26.84,2745,152.7,600.86,163,12,21.86,1.43,184.86,13.43,26.86,0.71,19.57,2.43,0.43,0.14,4053.86,171.29,1035.71,381.43,29.43,62.29,3.14,443.71,32.57,43.57,1,33.86,6,0.29,0
Francisco de Oliveira Geraldes,Chico Geraldes,12780,4/18/95,Wellington Phoenix FC,867,AUS - A-League,61,2024/2025,95,Center Forward,90.38,16.72,29.69,2,0,10181.5,112.65,1440.5,409.5,43,163,8.5,572.5,51.5,112.5,6.5,90.5,11.5,6,,0.5,,28.5,28.5,2619,156.67,602.5,215,19,55,3.5,270,22.5,32,2.5,21.5,2,2,0,4401.5,148.24,708,168.5,21,100,4,268.5,25,49,1.5,37,6,1,0.5
Francisco de Oliveira Geraldes,Chico Geraldes,12780,4/18/95,Wellington Phoenix FC,867,AUS - A-League,61,2024/2025,95,Midfield,85.3,21.78,27.22,2,0,10256,120.23,1510,534,47,152.5,8,686.5,55,101.5,3.5,87,11.5,3,,1.5,,28.5,28.5,3236.5,148.58,638.5,265.5,22,72,4,337.5,26,35.5,1.5,22.5,4,1.5,0.5,4317,158.62,752.5,238.5,22.5,70,3,308.5,25.5,43,1,35.5,4.5,0.5,0.5
Francisco de Oliveira Geraldes,Chico Geraldes,12780,4/18/95,Wellington Phoenix FC,867,AUS - A-League,61,2024/2025,95,Wide Attacker,68.5,19.58,21.38,1,0,8143,118.88,1335,432,40,104,6,536,46,89,5,77,12,4,,1,,26.6,26.6,2942,150.23,653,242,23,63,4,305,27,36,1,26,3,1,0,3166,148.06,570,160,13,22,1,182,14,33,1,28,6,0,0
